Producto;Tiendas;Categoría;Precio;Envío;Año;Fecha;Vendedor;Lugar de Compra;Calificación;Método de pago;Cantidad de cuotas;lat;lon
Lavadora de ropa;1;Electrodomésticos;12433000;644000;2020;17-02-2020;Santiago Silva;Bogotá;4;Cupón;1;460971;-7408175
Set de ollas;1;Artículos para el hogar;1073000;91000;2020;10-03-2020;Camila Rivera;Santa Marta;3;Tarjeta de crédito;4;1124079;-7419904
Estufa;1;Electrodomésticos;9712000;499000;2021;22-06-2021;Beatriz Morales;Bogotá;5;Nequi;1;460971;-7408175
Celular ABXY;1;Electrónicos;9248000;474000;2021;18-11-2021;Lucas Olivera;Cartagena;4;Tarjeta de crédito;1;1039972;-7551444
Tablet ABXY;1;Electrónicos;13981000;726000;2021;09-10-2021;Ángel Rodriguez;Bucaramanga;4;Nequi;1;712539;-731198
Impresora;1;Electrónicos;2890000;136000;2023;29-01-2023;Pedro Gomez;Cali;5;Nequi;1;343722;-765225
Ajedrez de madera;1;Juguetes;315000;21000;2022;14-05-2022;Blanca Ramirez;Bogotá;5;Cupón;1;460971;-7408175
Lavavajillas;1;Electrodomésticos;15709000;840000;2020;26-07-2020;Camila Rivera;Bogotá;1;Nequi;1;460971;-7408175
Lavadora de ropa;1;Electrodomésticos;15064000;804000;2022;22-03-2022;Maria Alfonso;Cali;5;Tarjeta de crédito;1;343722;-765225
Mesa de comedor;1;Muebles;2233000;121000;2021;17-02-2021;Rafael Acosta;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Refrigerador;1;Electrodomésticos;14281000;767000;2022;20-04-2022;Mariana Herrera;Cúcuta;5;Nequi;1;789391;-7250782
Sofá reclinable;1;Muebles;6969000;353000;2021;23-01-2021;Izabela de León;Cali;5;Tarjeta de crédito;1;343722;-765225
Auriculares con micrófono;1;Electrónicos;2247000;143000;2023;10-03-2023;Ángel Rodriguez;Cúcuta;5;Nequi;1;789391;-7250782
Silla de oficina;1;Muebles;2781000;150000;2020;24-11-2020;Mariana Herrera;Cali;5;Nequi;1;343722;-765225
Secadora de ropa;1;Electrodomésticos;6220000;338000;2022;09-04-2022;Juan Fernandez;Bogotá;5;Tarjeta de crédito;4;460971;-7408175
Batería;1;Instrumentos musicales;7305000;393000;2021;26-07-2021;Felipe Santos;Medellín;5;Nequi;1;625184;-7556359
Tablet ABXY;1;Electrónicos;10959000;565000;2021;01-09-2021;Felipe Santos;Bogotá;5;Tarjeta de crédito;4;460971;-7408175
Dinosaurio Rex;1;Juguetes;150000;10000;2020;21-06-2020;Blanca Ramirez;Bogotá;4;Tarjeta de crédito;2;460971;-7408175
Lavadora de ropa;1;Electrodomésticos;13243000;752000;2022;21-09-2022;Camila Rivera;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Sillón;1;Muebles;2525000;141000;2023;02-01-2023;Juan Fernandez;Medellín;5;Tarjeta de crédito;1;625184;-7556359
Cubo mágico 8x8;1;Juguetes;126000;30000;2023;05-03-2023;Rafael Acosta;Cali;4;Tarjeta de crédito;4;343722;-765225
Mochila;1;Deportes y diversión;1058000;38000;2021;28-11-2021;Pedro Gomez;Medellín;3;Nequi;1;625184;-7556359
Mesa de comedor;1;Muebles;1789000;77000;2022;08-11-2022;Rafael Acosta;Pereira;2;Cupón;1;481333;-7569611
Microondas;1;Electrodomésticos;5200000;259000;2021;11-11-2021;Juliana Costa;Medellín;5;Nequi;1;625184;-7556359
Kit de bancas;1;Muebles;2606000;151000;2020;04-09-2020;Camila Rivera;Medellín;4;Tarjeta de crédito;1;625184;-7556359
Auriculares con micrófono;1;Electrónicos;1025000;36000;2021;24-04-2021;Juan Fernandez;Cali;5;Tarjeta de crédito;1;343722;-765225
Impresora;1;Electrónicos;2893000;136000;2022;09-03-2022;Ángel Rodriguez;Barranquilla;5;Tarjeta de crédito;4;1096854;-7478132
TV LED UHD 4K;1;Electrónicos;22494000;1180000;2021;13-06-2021;Santiago Silva;Bogotá;4;Nequi;1;460971;-7408175
TV LED UHD 4K;1;Electrónicos;26365000;1386000;2021;06-07-2021;Blanca Ramirez;Bogotá;4;Tarjeta de crédito;3;460971;-7408175
Bicicleta;1;Deportes y diversión;5245000;281000;2022;19-11-2022;Juliana Costa;Medellín;5;Tarjeta de crédito;2;625184;-7556359
Refrigerador;1;Electrodomésticos;23569000;1237000;2022;26-02-2022;Maria Alfonso;Cali;5;Tarjeta de crédito;3;343722;-765225
Mesa de noche;1;Muebles;2334000;171000;2023;19-02-2023;Juliana Costa;Bogotá;2;Tarjeta de crédito;2;460971;-7408175
Juego de mesa;1;Juguetes;1430000;58000;2021;12-05-2021;Juan Fernandez;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
TV LED UHD 4K;1;Electrónicos;18245000;953000;2023;19-01-2023;Felipe Santos;Medellín;4;Nequi;1;625184;-7556359
Juego de mesa;1;Juguetes;1152000;63000;2021;09-01-2021;Rafael Acosta;Cali;5;Tarjeta de crédito;1;343722;-765225
Set de vasos;1;Artículos para el hogar;414000;24000;2022;28-11-2022;Mariana Herrera;Medellín;1;Tarjeta de crédito;4;625184;-7556359
Balón de voleibol;1;Deportes y diversión;495000;28000;2021;15-10-2021;Juliana Costa;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Cama box;1;Muebles;6136000;331000;2022;29-05-2022;Izabela de León;Bogotá;1;Tarjeta de crédito;1;460971;-7408175
Dinosaurio Rex;1;Juguetes;186000;0;2020;26-10-2020;Blanca Ramirez;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Armario;1;Muebles;4892000;242000;2020;11-10-2020;Juliana Costa;Bogotá;1;Tarjeta de crédito;2;460971;-7408175
Tablet ABXY;1;Electrónicos;18735000;979000;2023;25-02-2023;Maria Alfonso;Medellín;5;Tarjeta de crédito;3;625184;-7556359
Celular ABXY;1;Electrónicos;13006000;739000;2021;03-01-2021;Juan Fernandez;Pereira;4;Tarjeta de crédito;4;481333;-7569611
Cubertería;1;Artículos para el hogar;543000;33000;2020;12-09-2020;Rafael Acosta;Riohacha;1;Tarjeta de crédito;8;1154444;-7290722
Iphone 15;1;Electrónicos;18466000;965000;2020;08-04-2020;Beatriz Morales;Cali;5;Cupón;1;343722;-765225
Tablet ABXY;1;Electrónicos;9510000;554000;2021;04-02-2021;Camila Rivera;Bogotá;3;Tarjeta de crédito;1;460971;-7408175
Iphone 15;1;Electrónicos;18184000;975000;2021;13-10-2021;Mariana Herrera;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Cama king;1;Muebles;4953000;266000;2021;01-02-2021;Juliana Costa;Medellín;5;Tarjeta de crédito;3;625184;-7556359
Guitarra acústica;1;Instrumentos musicales;3824000;210000;2020;28-02-2020;Pedro Gomez;Barranquilla;4;Tarjeta de crédito;3;1096854;-7478132
Auriculares con micrófono;1;Electrónicos;2435000;112000;2021;08-04-2021;Pedro Gomez;Cali;5;Tarjeta de crédito;2;343722;-765225
Estufa;1;Electrodomésticos;4786000;265000;2023;28-01-2023;Ángel Rodriguez;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Muñeca bebé;1;Juguetes;578000;13000;2023;24-02-2023;Lucas Olivera;Barranquilla;5;Tarjeta de crédito;6;1096854;-7478132
Cuerda para saltar;1;Deportes y diversión;247000;81000;2022;13-10-2022;Rafael Acosta;Bogotá;5;Tarjeta de crédito;6;460971;-7408175
Muñeca bebé;1;Juguetes;440000;27000;2021;03-04-2021;Izabela de León;Medellín;5;Tarjeta de crédito;3;625184;-7556359
Smart TV;1;Electrónicos;17275000;930000;2021;22-04-2021;Felipe Santos;Medellín;5;Cupón;1;625184;-7556359
Impresora;1;Electrónicos;3546000;191000;2022;31-12-2022;Camila Rivera;Leticia;4;Tarjeta de crédito;3;-421528;-6994056
Iniciando en programación;1;Libros;622000;37000;2020;19-04-2020;Mariana Herrera;Medellín;5;Nequi;1;625184;-7556359
Cubo mágico 8x8;1;Juguetes;108000;0;2020;31-01-2020;Juliana Costa;Medellín;4;Tarjeta de crédito;1;625184;-7556359
Smart TV;1;Electrónicos;15091000;809000;2022;07-12-2022;Juan Fernandez;Medellín;4;Tarjeta de crédito;1;625184;-7556359
Celular ABXY;1;Electrónicos;8424000;455000;2021;14-10-2021;Santiago Silva;Medellín;1;Nequi;1;625184;-7556359
Cama box;1;Muebles;5841000;293000;2020;11-12-2020;Mariana Herrera;Medellín;5;Tarjeta de crédito;10;625184;-7556359
Guitarra acústica;1;Instrumentos musicales;2181000;123000;2021;05-11-2021;Camila Rivera;Medellín;5;Nequi;1;625184;-7556359
Tablet ABXY;1;Electrónicos;10500000;566000;2022;25-09-2022;Felipe Santos;Bogotá;3;Tarjeta de débito;1;460971;-7408175
Ajedrez de madera;1;Juguetes;360000;21000;2022;23-10-2022;Beatriz Morales;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Iniciando en programación;1;Libros;570000;34000;2021;07-02-2021;Maria Alfonso;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Armario;1;Muebles;4932000;244000;2021;07-08-2021;Mariana Herrera;Bogotá;2;Nequi;1;460971;-7408175
Guitarra eléctrica;1;Instrumentos musicales;6979000;419000;2022;11-08-2022;Juan Fernandez;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Balón de voleibol;1;Deportes y diversión;563000;12000;2021;17-12-2021;Beatriz Morales;Cali;5;Nequi;1;343722;-765225
Mesa de noche;1;Muebles;2681000;145000;2021;19-09-2021;Blanca Ramirez;Cali;5;Nequi;1;343722;-765225
Estufa;1;Electrodomésticos;4895000;267000;2021;29-11-2021;Rafael Acosta;Leticia;5;Tarjeta de crédito;7;-421528;-6994056
Pandereta;1;Instrumentos musicales;820000;92000;2020;24-04-2020;Camila Rivera;Cali;1;Cupón;1;343722;-765225
Guitarra eléctrica;1;Instrumentos musicales;7516000;474000;2020;21-03-2020;Blanca Ramirez;Medellín;5;Tarjeta de crédito;2;625184;-7556359
Balón de baloncesto;1;Deportes y diversión;482000;8000;2022;10-05-2022;Blanca Ramirez;Bogotá;5;Nequi;1;460971;-7408175
Guitarra acústica;1;Instrumentos musicales;2125000;115000;2022;16-11-2022;Pedro Gomez;Bogotá;5;Tarjeta de crédito;10;460971;-7408175
Balón de baloncesto;1;Deportes y diversión;425000;27000;2021;12-10-2021;Juan Fernandez;Bogotá;5;Tarjeta de crédito;6;460971;-7408175
Estufa;1;Electrodomésticos;5340000;266000;2021;23-02-2021;Lucas Olivera;Cúcuta;5;Nequi;1;789391;-7250782
Armario;1;Muebles;4934000;269000;2021;13-06-2021;Pedro Gomez;Pereira;5;Tarjeta de crédito;6;481333;-7569611
Cama box;1;Muebles;3630000;175000;2020;07-05-2020;Rafael Acosta;Bogotá;5;Nequi;1;460971;-7408175
Mesa de comedor;1;Muebles;3089000;146000;2021;09-11-2021;Izabela de León;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Ciencia de datos con Python;1;Libros;472000;0;2022;08-03-2022;Mariana Herrera;Bogotá;5;Tarjeta de crédito;5;460971;-7408175
Sillón;1;Muebles;2084000;123000;2021;27-08-2021;Izabela de León;Bogotá;5;Tarjeta de crédito;3;460971;-7408175
Sillón;1;Muebles;2628000;122000;2020;31-07-2020;Blanca Ramirez;Cali;5;Tarjeta de crédito;3;343722;-765225
Pandereta;1;Instrumentos musicales;313000;0;2021;26-04-2021;Blanca Ramirez;Barranquilla;3;Tarjeta de crédito;4;1096854;-7478132
Cubertería;1;Artículos para el hogar;446000;0;2022;11-05-2022;Santiago Silva;Bogotá;5;Tarjeta de débito;1;460971;-7408175
Batería;1;Instrumentos musicales;7821000;398000;2021;17-07-2021;Mariana Herrera;Bogotá;5;Nequi;1;460971;-7408175
Set de ollas;1;Artículos para el hogar;1333000;53000;2023;17-01-2023;Ángel Rodriguez;Cali;5;Nequi;1;343722;-765225
Set de ollas;1;Artículos para el hogar;2088000;135000;2022;29-01-2022;Camila Rivera;Cartagena;5;Tarjeta de crédito;2;1039972;-7551444
Set de ollas;1;Artículos para el hogar;1320000;81000;2022;20-07-2022;Pedro Gomez;Bogotá;5;Nequi;1;460971;-7408175
Ajedrez de madera;1;Juguetes;247000;17000;2021;25-06-2021;Blanca Ramirez;Bogotá;3;Tarjeta de crédito;2;460971;-7408175
Juego de mesa;1;Juguetes;2458000;138000;2021;06-03-2021;Pedro Gomez;Cali;5;Tarjeta de crédito;4;343722;-765225
Pandereta;1;Instrumentos musicales;527000;30000;2021;20-01-2021;Juan Fernandez;Medellín;1;Tarjeta de crédito;1;625184;-7556359
Balón de voleibol;1;Deportes y diversión;581000;33000;2020;24-03-2020;Juliana Costa;Medellín;5;Tarjeta de crédito;6;625184;-7556359
Mesa de centro;1;Muebles;2083000;93000;2022;13-09-2022;Mariana Herrera;Bogotá;4;Tarjeta de crédito;3;460971;-7408175
Modelado predictivo;1;Libros;767000;65000;2020;26-07-2020;Camila Rivera;Medellín;5;Tarjeta de crédito;1;625184;-7556359
Guitarra acústica;1;Instrumentos musicales;3575000;214000;2021;04-02-2021;Rafael Acosta;Medellín;5;Tarjeta de crédito;3;625184;-7556359
Sofá reclinable;1;Muebles;6502000;328000;2020;19-10-2020;Maria Alfonso;Bogotá;1;Tarjeta de crédito;6;460971;-7408175
Muñeca bebé;1;Juguetes;458000;0;2022;05-12-2022;Juliana Costa;Cali;1;Cupón;1;343722;-765225
Impresora;1;Electrónicos;3494000;168000;2021;17-11-2021;Lucas Olivera;Cali;5;Tarjeta de crédito;1;343722;-765225
Set de vasos;1;Artículos para el hogar;364000;21000;2022;23-10-2022;Izabela de León;Bogotá;1;Tarjeta de crédito;4;460971;-7408175
Vaso térmico;1;Deportes y diversión;626000;37000;2022;07-08-2022;Ángel Rodriguez;Bogotá;3;Nequi;1;460971;-7408175
Pandereta;1;Instrumentos musicales;707000;20000;2021;20-09-2021;Izabela de León;Bogotá;4;Tarjeta de crédito;5;460971;-7408175
Mochila;1;Deportes y diversión;966000;33000;2021;05-08-2021;Maria Alfonso;Medellín;3;Nequi;1;625184;-7556359
Armario;1;Muebles;4708000;284000;2020;16-12-2020;Camila Rivera;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Silla de oficina;1;Muebles;3724000;180000;2021;26-03-2021;Izabela de León;Pereira;4;Tarjeta de crédito;5;481333;-7569611
Auriculares con micrófono;1;Electrónicos;2376000;108000;2021;28-12-2021;Santiago Silva;Medellín;4;Nequi;1;625184;-7556359
Dashboards con Power BI;1;Libros;444000;28000;2020;06-11-2020;Maria Alfonso;Cali;5;Tarjeta de crédito;1;343722;-765225
Guitarra acústica;1;Instrumentos musicales;1910000;84000;2023;06-02-2023;Lucas Olivera;Bogotá;5;Tarjeta de crédito;6;460971;-7408175
Armario;1;Muebles;5200000;281000;2021;16-03-2021;Lucas Olivera;Medellín;3;Cupón;1;625184;-7556359
Refrigerador;1;Electrodomésticos;19171000;1023000;2021;12-08-2021;Maria Alfonso;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Bicicleta;1;Deportes y diversión;5733000;310000;2022;25-02-2022;Lucas Olivera;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Impresora;1;Electrónicos;2890000;178000;2021;03-03-2021;Maria Alfonso;Bogotá;5;Tarjeta de crédito;3;460971;-7408175
Mesa de comedor;1;Muebles;3421000;164000;2020;07-08-2020;Pedro Gomez;Cali;3;Tarjeta de crédito;8;343722;-765225
Set de vasos;1;Artículos para el hogar;275000;0;2021;10-10-2021;Maria Alfonso;Medellín;1;Tarjeta de crédito;3;625184;-7556359
Lavavajillas;1;Electrodomésticos;14985000;800000;2020;30-08-2020;Izabela de León;Cartagena;5;Tarjeta de crédito;2;1039972;-7551444
Smartwatch;1;Electrónicos;1420000;82000;2020;10-03-2020;Camila Rivera;Bogotá;4;Nequi;1;460971;-7408175
Auriculares;1;Electrónicos;461000;0;2021;22-11-2021;Felipe Santos;Medellín;5;Nequi;1;625184;-7556359
Mesa de noche;1;Muebles;2629000;122000;2021;13-11-2021;Izabela de León;Cali;5;Tarjeta de crédito;1;343722;-765225
Modelado predictivo;1;Libros;639000;39000;2022;25-03-2022;Camila Rivera;Bogotá;4;Tarjeta de crédito;3;460971;-7408175
Balón de voleibol;1;Deportes y diversión;446000;48000;2022;31-01-2022;Pedro Gomez;Barranquilla;1;Cupón;1;1096854;-7478132
Auriculares;1;Electrónicos;1303000;72000;2021;20-10-2021;Juliana Costa;Bogotá;5;Nequi;1;460971;-7408175
Set de vasos;1;Artículos para el hogar;369000;25000;2021;13-06-2021;Maria Alfonso;Cúcuta;5;Nequi;1;789391;-7250782
Cuerda para saltar;1;Deportes y diversión;193000;78000;2020;27-02-2020;Pedro Gomez;Pereira;4;Tarjeta de crédito;10;481333;-7569611
Cubertería;1;Artículos para el hogar;357000;0;2022;30-04-2022;Rafael Acosta;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Ciencia de datos con Python;1;Libros;481000;82000;2020;06-04-2020;Pedro Gomez;Bogotá;5;Tarjeta de crédito;8;460971;-7408175
Smart TV;1;Electrónicos;14848000;773000;2020;17-02-2020;Pedro Gomez;Bogotá;5;Tarjeta de crédito;6;460971;-7408175
Batería;1;Instrumentos musicales;7204000;386000;2021;26-06-2021;Felipe Santos;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Guitarra eléctrica;1;Instrumentos musicales;8424000;430000;2022;24-02-2022;Pedro Gomez;Bogotá;5;Tarjeta de crédito;3;460971;-7408175
Auriculares;1;Electrónicos;1353000;74000;2022;21-11-2022;Ángel Rodriguez;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
TV LED UHD 4K;1;Electrónicos;23685000;1272000;2021;23-09-2021;Juan Fernandez;Bogotá;1;Tarjeta de crédito;10;460971;-7408175
Balón de voleibol;1;Deportes y diversión;560000;12000;2021;24-10-2021;Izabela de León;Cali;5;Nequi;1;343722;-765225
Mochila;1;Deportes y diversión;1046000;38000;2022;28-06-2022;Felipe Santos;Bogotá;4;Tarjeta de crédito;3;460971;-7408175
Cama king;1;Muebles;6628000;355000;2020;09-11-2020;Maria Alfonso;Cali;5;Tarjeta de crédito;3;343722;-765225
Bicicleta;1;Deportes y diversión;6764000;362000;2023;04-02-2023;Pedro Gomez;Bogotá;1;Tarjeta de crédito;10;460971;-7408175
Secadora de ropa;1;Electrodomésticos;7621000;410000;2020;20-03-2020;Ángel Rodriguez;Bogotá;5;Tarjeta de crédito;4;460971;-7408175
Set de vasos;1;Artículos para el hogar;396000;23000;2021;30-09-2021;Felipe Santos;Pereira;2;Nequi;1;481333;-7569611
Batería;1;Instrumentos musicales;5428000;313000;2022;17-03-2022;Blanca Ramirez;Riohacha;5;Tarjeta de crédito;2;1154444;-7290722
Secadora de ropa;1;Electrodomésticos;7942000;430000;2021;06-01-2021;Juan Fernandez;Riohacha;1;Tarjeta de crédito;2;1154444;-7290722
Set de vasos;1;Artículos para el hogar;426000;25000;2020;01-12-2020;Blanca Ramirez;Medellín;1;Tarjeta de crédito;6;625184;-7556359
Tablet ABXY;1;Electrónicos;13841000;744000;2022;25-01-2022;Camila Rivera;Medellín;5;Tarjeta de crédito;3;625184;-7556359
Modelado predictivo;1;Libros;644000;16000;2022;26-02-2022;Lucas Olivera;Bogotá;2;Tarjeta de crédito;2;460971;-7408175
Auriculares con micrófono;1;Electrónicos;956000;33000;2022;24-12-2022;Santiago Silva;Medellín;5;Tarjeta de crédito;1;625184;-7556359
Vaso térmico;1;Deportes y diversión;476000;27000;2022;10-01-2022;Camila Rivera;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Auriculares;1;Electrónicos;1185000;45000;2021;11-04-2021;Beatriz Morales;Bogotá;1;Tarjeta de crédito;6;460971;-7408175
Vaso térmico;1;Deportes y diversión;269000;18000;2021;29-10-2021;Beatriz Morales;Medellín;5;Nequi;1;625184;-7556359
Mesa de centro;1;Muebles;1975000;173000;2020;14-09-2020;Lucas Olivera;Manizales;5;Nequi;1;506889;-7551738
Secadora de ropa;1;Electrodomésticos;13026000;700000;2021;25-12-2021;Juan Fernandez;Bogotá;1;Tarjeta de crédito;3;460971;-7408175
Mesa de centro;1;Muebles;1569000;90000;2020;08-03-2020;Beatriz Morales;Pereira;4;Nequi;1;481333;-7569611
Muñeca bebé;1;Juguetes;501000;31000;2021;15-03-2021;Mariana Herrera;Medellín;1;Cupón;1;625184;-7556359
TV LED UHD 4K;1;Electrónicos;25874000;1384000;2021;12-11-2021;Beatriz Morales;Bogotá;5;Nequi;1;460971;-7408175
Bloques de construcción;1;Juguetes;259000;0;2022;16-02-2022;Lucas Olivera;Bogotá;5;Tarjeta de crédito;10;460971;-7408175
Lavavajillas;1;Electrodomésticos;13452000;723000;2020;05-09-2020;Juan Fernandez;Bogotá;4;Tarjeta de crédito;3;460971;-7408175
Lavavajillas;1;Electrodomésticos;14953000;778000;2021;04-06-2021;Maria Alfonso;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Secadora de ropa;1;Electrodomésticos;13403000;718000;2022;13-02-2022;Juan Fernandez;Cali;2;Tarjeta de crédito;6;343722;-765225
Bicicleta;1;Deportes y diversión;5166000;334000;2021;25-07-2021;Izabela de León;Manizales;4;Tarjeta de crédito;3;506889;-7551738
Cama king;1;Muebles;4809000;238000;2022;14-10-2022;Santiago Silva;Pereira;4;Nequi;1;481333;-7569611
Carrito de control remoto;1;Juguetes;617000;15000;2020;21-12-2020;Pedro Gomez;Bogotá;3;Tarjeta de crédito;1;460971;-7408175
Kit de bancas;1;Muebles;2826000;154000;2022;24-08-2022;Rafael Acosta;Barranquilla;5;Nequi;1;1096854;-7478132
Mesa de noche;1;Muebles;2947000;159000;2022;11-09-2022;Juliana Costa;Bogotá;1;Tarjeta de crédito;2;460971;-7408175
Lavadora de ropa;1;Electrodomésticos;14400000;749000;2020;01-01-2020;Juliana Costa;Pereira;5;Tarjeta de crédito;2;481333;-7569611
Smartwatch;1;Electrónicos;1987000;88000;2022;07-04-2022;Izabela de León;Medellín;4;Tarjeta de crédito;3;625184;-7556359
Set de vasos;1;Artículos para el hogar;305000;0;2021;04-10-2021;Ángel Rodriguez;Medellín;5;Nequi;1;625184;-7556359
Set de ollas;1;Artículos para el hogar;2035000;90000;2020;11-04-2020;Camila Rivera;Cartagena;1;Tarjeta de crédito;1;1039972;-7551444
Microondas;1;Electrodomésticos;5432000;291000;2021;08-05-2021;Juan Fernandez;Bogotá;5;Tarjeta de crédito;9;460971;-7408175
Cuerda para saltar;1;Deportes y diversión;178000;13000;2022;12-03-2022;Santiago Silva;Cali;4;Tarjeta de crédito;1;343722;-765225
Lavavajillas;1;Electrodomésticos;13019000;675000;2020;07-09-2020;Rafael Acosta;Leticia;1;Tarjeta de crédito;2;-421528;-6994056
Cubertería;1;Artículos para el hogar;354000;24000;2020;12-06-2020;Lucas Olivera;Bogotá;4;Cupón;1;460971;-7408175
Refrigerador;1;Electrodomésticos;24091000;1287000;2020;19-02-2020;Santiago Silva;Medellín;5;Tarjeta de crédito;1;625184;-7556359
Pandereta;1;Instrumentos musicales;431000;0;2022;22-04-2022;Izabela de León;Bogotá;5;Tarjeta de crédito;9;460971;-7408175
Iniciando en programación;1;Libros;389000;0;2021;16-03-2021;Beatriz Morales;Medellín;5;Nequi;1;625184;-7556359
Impresora;1;Electrónicos;2662000;144000;2022;07-01-2022;Maria Alfonso;Villavicencio;3;Tarjeta de crédito;4;4142;-7362664
Tablet ABXY;1;Electrónicos;16985000;886000;2020;14-05-2020;Rafael Acosta;Bogotá;5;Nequi;1;460971;-7408175
Lavadora de ropa;1;Electrodomésticos;12306000;637000;2023;29-01-2023;Rafael Acosta;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Bicicleta;1;Deportes y diversión;5598000;280000;2021;12-09-2021;Felipe Santos;Bogotá;1;Nequi;1;460971;-7408175
Kit de bancas;1;Muebles;2550000;160000;2020;25-09-2020;Izabela de León;Bogotá;5;Nequi;1;460971;-7408175
Bloques de construcción;1;Juguetes;287000;17000;2021;31-10-2021;Blanca Ramirez;Bogotá;5;Nequi;1;460971;-7408175
Sofá reclinable;1;Muebles;7142000;362000;2023;27-02-2023;Izabela de León;Bucaramanga;5;Tarjeta de crédito;1;712539;-731198
Lavavajillas;1;Electrodomésticos;9784000;503000;2021;01-08-2021;Beatriz Morales;Cali;5;Tarjeta de crédito;5;343722;-765225
Impresora;1;Electrónicos;3427000;188000;2021;20-03-2021;Juan Fernandez;Bogotá;5;Nequi;1;460971;-7408175
Silla de oficina;1;Muebles;3510000;211000;2020;02-01-2020;Ángel Rodriguez;Bogotá;4;Tarjeta de crédito;2;460971;-7408175
Estufa;1;Electrodomésticos;9548000;511000;2020;21-07-2020;Juan Fernandez;Medellín;5;Tarjeta de crédito;10;625184;-7556359
Cubo mágico 8x8;1;Juguetes;184000;0;2022;23-09-2022;Pedro Gomez;Medellín;5;Cupón;1;625184;-7556359
Armario;1;Muebles;5154000;256000;2020;21-03-2020;Ángel Rodriguez;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Carrito de control remoto;1;Juguetes;547000;40000;2022;26-09-2022;Mariana Herrera;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Mesa de comedor;1;Muebles;2291000;104000;2021;30-06-2021;Felipe Santos;Medellín;4;Tarjeta de crédito;4;625184;-7556359
Mesa de centro;1;Muebles;1734000;99000;2021;16-01-2021;Juliana Costa;Inírida;2;Tarjeta de crédito;4;38653;-679239
Kit de bancas;1;Muebles;3394000;163000;2021;20-09-2021;Lucas Olivera;Bogotá;4;Nequi;1;460971;-7408175
Sofá reclinable;1;Muebles;6051000;326000;2020;30-04-2020;Rafael Acosta;Medellín;5;Nequi;1;625184;-7556359
Bloques de construcción;1;Juguetes;276000;0;2022;01-01-2022;Pedro Gomez;Bogotá;4;Nequi;1;460971;-7408175
Armario;1;Muebles;5178000;282000;2021;12-11-2021;Pedro Gomez;Cúcuta;4;Tarjeta de crédito;1;789391;-7250782
Mesa de noche;1;Muebles;2444000;132000;2022;17-03-2022;Blanca Ramirez;Bogotá;5;Cupón;1;460971;-7408175
Balón de baloncesto;1;Deportes y diversión;650000;37000;2021;19-06-2021;Izabela de León;Leticia;4;Tarjeta de crédito;2;-421528;-6994056
Iniciando en programación;1;Libros;611000;80000;2022;30-09-2022;Izabela de León;Pereira;1;Tarjeta de crédito;10;481333;-7569611
Iniciando en programación;1;Libros;593000;39000;2022;16-12-2022;Camila Rivera;Bogotá;4;Tarjeta de crédito;3;460971;-7408175
Ciencia de datos con Python;1;Libros;414000;0;2023;09-01-2023;Ángel Rodriguez;Medellín;4;Tarjeta de crédito;3;625184;-7556359
Pandereta;1;Instrumentos musicales;440000;26000;2021;07-06-2021;Santiago Silva;Bogotá;5;Tarjeta de crédito;4;460971;-7408175
Pandereta;1;Instrumentos musicales;930000;31000;2022;28-02-2022;Pedro Gomez;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Tablet ABXY;1;Electrónicos;10793000;647000;2020;04-11-2020;Blanca Ramirez;Medellín;3;Tarjeta de crédito;2;625184;-7556359
Auriculares con micrófono;1;Electrónicos;838000;51000;2022;22-05-2022;Izabela de León;Pereira;1;Tarjeta de crédito;1;481333;-7569611
Estufa;1;Electrodomésticos;7881000;401000;2022;25-06-2022;Izabela de León;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Sillón;1;Muebles;2910000;159000;2021;21-05-2021;Blanca Ramirez;Cartagena;1;Tarjeta de crédito;10;1039972;-7551444
Juego de mesa;1;Juguetes;1321000;74000;2022;06-05-2022;Pedro Gomez;Cali;4;Tarjeta de crédito;2;343722;-765225
Set de vasos;1;Artículos para el hogar;259000;16000;2020;28-02-2020;Izabela de León;Medellín;5;Tarjeta de crédito;7;625184;-7556359
